City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
76,cocobeach,1.0002,9.5823,28.47,72,37,4.35,GA,1675612769
77,sorland,67.667,12.6934,3.92,54,95,9.86,NO,1675612769
78,wetteren,50.9934,3.8721,8.61,73,11,6.81,BE,1675612770
79,saint-georges,12.0564,-61.7485,27.82,74,75,8.23,GD,1675612547
80,kenai,60.5544,-151.2583,-6.06,93,100,9.77,US,1675612770
81,russell,32.3502,-85.1999,12.23,62,75,0.0,US,1675612770
82,kodiak,57.79,-152.4072,1.73,93,100,13.89,US,1675612771
83,namibe,-15.1961,12.1522,23.92,71,60,4.59,AO,1675612771
84,severo-kurilsk,50.6789,156.125,-4.21,79,95,3.64,RU,1675612772
85,georgetown,5.4112,100.3354,24.97,94,40,1.54,MY,1675612664
86,alice springs,-23.7,133.8833,15.75,72,1,1.03,AU,1675612772
87,bluff,-46.6,168.3333,16.16,71,99,9.72,NZ,1675612772
88,butaritari,3.0707,172.7902,26.89,82,81,8.08,KI,1675612773
89,mar del plata,-38.0023,-57.5575,28.86,52,0,6.69,AR,1675612675
90,tenenkou,14.4572,-4.9169,34.27,8,4,4.21,ML,1675612773
91,akyab,20.15,92.9,21.66,56,7,6.39,MM,1675612774
92,pangnirtung,66.1451,-65.7125,-33.78,97,100,0.6,CA,1675612774
93,vostok,46.4856,135.8833,-19.75,99,100,1.23,RU,1675612774
94,port blair,11.6667,92.75,28.02,78,40,1.03,IN,1675612775
95,thompson,55.7435,-97.8558,-21.91,84,100,1.03,CA,1675612742
96,hithadhoo,-0.6,73.0833,27.34,70,60,5.01,MV,1675612775
97,atar,20.5169,-13.0499,25.78,13,31,4.88,MR,1675612776
98,gemena,3.25,19.7667,35.62,17,8,1.33,CD,1675612776
99,winneba,5.3511,-0.6231,29.38,70,100,5.69,GH,1675612776
100,severnyy,50.677,36.5532,-3.98,85,100,4.02,RU,1675612777
101,iskateley,67.6803,53.1512,-17.52,99,99,2.76,RU,1675612777
102,dingle,10.9995,122.6711,23.55,92,100,3.5,PH,1675612778
103,mayo,38.8876,-76.5119,7.32,47,0,6.17,US,1675612778
104,mehamn,71.0357,27.8492,-4.03,74,100,5.66,NO,1675612778
105,coos bay,43.3665,-124.2179,8.29,93,100,5.66,US,1675612779
106,jacala,21.0167,-99.1833,15.6,39,3,1.63,MX,1675612779
107,lagoa,39.05,-27.9833,15.24,83,77,9.65,PT,1675612780
108,maun,-19.9833,23.4167,23.24,79,100,1.7,BW,1675612780
109,mildura,-34.2,142.15,16.71,64,0,3.21,AU,1675612780
110,porto novo,6.4965,2.6036,29.92,67,100,5.18,BJ,1675612781
111,gat,31.61,34.7642,15.38,7,16,3.52,IL,1675612781
112,springbok,-29.6643,17.8865,27.24,32,37,7.74,ZA,1675612782
113,khatanga,71.9667,102.5,-32.86,93,98,2.49,RU,1675612556
114,leningradskiy,69.3833,178.4167,-32.92,99,100,2.07,RU,1675612782
115,clayton,33.5335,-84.3666,9.94,62,75,1.54,US,1675612519
116,hermanus,-34.4187,19.2345,20.45,79,99,3.58,ZA,1675612782
117,talnakh,69.4865,88.3972,-14.33,96,100,1.76,RU,1675612783
118,beloha,-25.1667,45.05,23.34,83,100,7.16,MG,1675612783
119,vila velha,-20.3297,-40.2925,34.97,64,0,6.17,BR,1675612783
120,berlevag,70.8578,29.0864,-4.0,73,100,4.12,NO,1675612784
121,sao filipe,14.8961,-24.4956,22.91,56,6,5.73,CV,1675612784
122,terra santa,-2.1042,-56.4869,31.07,55,87,2.6,BR,1675612784
123,cayenne,4.9333,-52.3333,23.02,94,75,4.12,GF,1675612785
124,chokurdakh,70.6333,147.9167,-38.43,100,97,1.77,RU,1675612785
125,new norfolk,-42.7826,147.0587,14.72,64,94,0.45,AU,1675612786
126,dunedin,-45.8742,170.5036,19.33,42,65,2.24,NZ,1675612786
127,domna,51.8971,113.1573,-15.91,66,13,2.0,RU,1675612786
128,kamenka,51.3223,42.7678,-11.85,98,74,1.98,RU,1675612787
129,fairbanks,64.8378,-147.7164,-26.02,73,0,0.0,US,1675612645
130,sinnamary,5.3833,-52.95,25.39,87,99,6.58,GF,1675612788
131,antofagasta,-23.65,-70.4,24.6,67,1,3.68,CL,1675612788
132,grindavik,63.8424,-22.4338,8.97,100,100,13.38,IS,1675612789
133,garissa,-0.4536,39.6401,32.79,25,81,3.49,KE,1675612789
134,port macquarie,-31.4333,152.9167,21.05,80,37,1.04,AU,1675612627
135,darhan,49.4867,105.9228,-19.82,97,93,1.06,MN,1675612790
136,chuy,-33.6971,-53.4616,25.52,52,13,5.0,UY,1675612790
137,brae,60.3964,-1.353,7.15,81,100,9.73,GB,1675612790
138,oga,46.4631,10.347,0.38,88,3,2.92,IT,1675612791
139,hilo,19.7297,-155.09,22.57,92,28,1.34,US,1675612791
140,rosetta,31.4044,30.4164,16.09,49,63,9.07,EG,1675612791
141,biak,-0.9131,122.8766,24.52,82,84,2.67,ID,1675612792
142,muscat,23.6139,58.5922,22.63,62,13,2.86,OM,1675612792
143,avarua,-21.2078,-159.775,27.03,83,75,6.17,CK,1675612793
144,shimoda,34.6667,138.95,4.5,70,33,2.99,JP,1675612793
145,prado,-17.3411,-39.2208,29.91,62,2,6.98,BR,1675612794
146,lebu,-37.6167,-73.65,18.93,76,30,7.26,CL,1675612794
147,mecca,21.4267,39.8261,24.5,51,62,4.54,SA,1675612795
148,ridgecrest,35.6225,-117.6709,12.05,45,75,5.36,US,1675612700
149,tuktoyaktuk,69.4541,-133.0374,-43.0,66,0,0.0,CA,1675612795
150,ternate,0.8,127.4,25.23,85,100,2.69,ID,1675612796
151,yabrud,33.9674,36.6574,3.41,89,92,9.35,SY,1675612796
152,te anau,-45.4167,167.7167,13.72,92,100,3.87,NZ,1675612751
153,laguna,38.421,-121.4238,10.16,87,20,4.63,US,1675612722
154,mzimba,-11.9,33.6,19.28,91,97,2.64,MW,1675612797
155,ust-nera,64.5667,143.2,-35.34,100,100,0.24,RU,1675612797
156,east london,-33.0153,27.9116,28.52,69,0,6.69,ZA,1675612797
157,deputatskiy,69.3,139.9,-30.42,99,100,1.54,RU,1675612798
158,birjand,32.8663,59.2211,7.26,33,0,3.09,IR,1675612608
159,sabya,17.1495,42.6254,27.79,64,100,3.77,SA,1675612798
160,gizo,-8.103,156.8419,26.2,90,100,7.41,SB,1675612798
161,bredasdorp,-34.5322,20.0403,23.45,64,86,5.82,ZA,1675612799
162,honiara,-9.4333,159.95,25.29,97,100,3.26,SB,1675612799
163,meadow lake,34.8014,-106.5436,10.24,37,12,1.33,US,1675612799
164,lompoc,34.6391,-120.4579,12.1,87,100,8.05,US,1675612800
165,moron,-34.6534,-58.6198,30.57,44,0,1.77,AR,1675612800
166,alagir,43.0422,44.2222,-2.7,86,98,1.35,RU,1675612801
167,egvekinot,66.3167,-179.1667,-29.71,88,100,4.89,RU,1675612807
168,port alfred,-33.5906,26.891,25.1,84,7,2.24,ZA,1675612810
169,anadyr,64.75,177.4833,-33.72,75,0,5.0,RU,1675612826
170,hasaki,35.7333,140.8333,3.22,76,85,4.68,JP,1675612829
171,porbandar,21.6422,69.6093,22.08,57,9,5.38,IN,1675612835
172,shwebo,22.5667,95.7,21.93,31,29,2.48,MM,1675612835
173,rosignano marittimo,43.4079,10.4729,10.07,58,33,6.82,IT,1675612836
174,kabare,-2.4683,28.8242,18.94,83,43,1.21,CD,1675612762
175,plettenberg bay,-34.0527,23.3716,23.53,75,44,3.84,ZA,1675612837
176,aykhal,66.0,111.5,-38.57,100,47,1.15,RU,1675612838
177,nemuro,43.3236,145.575,-4.76,79,23,4.24,JP,1675612839
178,paamiut,61.994,-49.6678,-9.05,82,100,5.76,GL,1675612840
179,dikson,73.5069,80.5464,-20.2,97,100,0.94,RU,1675612840
180,buritica,6.7187,-75.9073,25.22,54,53,0.38,CO,1675612840
181,gangapur,26.4833,76.7167,20.02,33,0,1.95,IN,1675612841
182,cururupu,-1.8283,-44.8683,28.17,77,85,3.15,BR,1675612565
183,dakar,14.6937,-17.4441,31.49,53,0,7.2,SN,1675612842
184,cherskiy,68.75,161.3,-40.94,100,100,2.18,RU,1675612842
185,luderitz,-26.6481,15.1594,21.68,66,14,13.07,NA,1675612842
186,milkovo,54.7167,158.6167,-21.76,99,100,0.76,RU,1675612843
187,kholodnyy,62.7167,147.95,-35.77,100,94,1.4,RU,1675612844
188,tezu,27.9167,96.1667,17.09,36,3,2.01,IN,1675612844
189,nanortalik,60.1432,-45.2371,-4.18,50,99,6.14,GL,1675612845
190,sioux lookout,50.1001,-91.917,-13.96,78,100,2.06,CA,1675612666
191,beringovskiy,63.05,179.3167,-28.69,93,99,5.3,RU,1675612845
192,cabo san lucas,22.8909,-109.9124,22.01,56,1,0.12,MX,1675612846
193,nabire,-3.3667,135.4833,24.32,94,100,1.28,ID,1675612846
194,cockburn town,21.4612,-71.1419,26.98,65,40,8.75,TC,1675612846
195,noyabrsk,63.1994,75.4507,-19.25,100,99,1.8,RU,1675612847
196,narsaq,60.9167,-46.05,-7.88,83,99,1.96,GL,1675612847
197,saryg-sep,51.5,95.6,-20.39,100,100,1.05,RU,1675612848
198,ta khmau,11.4833,104.95,28.03,78,20,1.03,KH,1675612848
199,miles city,46.4083,-105.8406,-2.46,80,0,5.14,US,1675612706
200,ivanteyevka,55.9711,37.9208,-2.19,96,100,1.89,RU,1675612849
201,awbari,26.5921,12.7805,17.16,29,12,5.67,LY,1675612849
202,sinop,41.7711,34.8709,1.21,94,91,1.1,TR,1675612849
203,soloneshnoye,51.6544,84.3197,-9.63,98,98,1.68,RU,1675612850
204,nome,64.5011,-165.4064,-14.73,91,57,3.21,US,1675612850
205,katobu,-4.9408,122.5276,24.3,94,100,1.66,ID,1675612851
206,tateyama,34.9833,139.8667,9.96,75,7,2.26,JP,1675612851
207,matara,5.9485,80.5353,24.71,90,100,0.82,LK,1675612851
208,coahuayana,18.7333,-103.6833,28.94,31,0,0.8,MX,1675612852
209,esperance,-33.8667,121.9,20.53,66,35,9.71,AU,1675612852
